start,problem_size,bound,optimal_cost,cost,states generated,algorithm
"(1, 6, 9, 3, 8, 2, 11, 12, 10, 4, 7, 5)",12,0,12,12,19296,IDA*
"(11, 5, 7, 9, 10, 6, 2, 8, 12, 3, 4, 1)",12,0,11,11,34054,IDA*
"(3, 1, 8, 6, 12, 5, 9, 10, 11, 2, 4, 7)",12,0,10,10,3981,IDA*
"(8, 1, 3, 5, 7, 10, 6, 9, 4, 2, 11, 12)",12,0,10,10,364,IDA*
"(2, 6, 12, 8, 10, 3, 1, 4, 11, 9, 5, 7)",12,0,12,12,14779,IDA*
"(8, 2, 7, 3, 1, 5, 10, 6, 4, 9, 11, 12)",12,0,11,11,554,IDA*
"(5, 1, 3, 4, 8, 9, 12, 11, 6, 2, 7, 10)",12,0,10,10,8621,IDA*
"(8, 4, 5, 11, 1, 12, 10, 6, 3, 2, 9, 7)",12,0,11,11,15547,IDA*
"(8, 3, 6, 11, 7, 10, 12, 9, 5, 2, 1, 4)",12,0,12,12,23539,IDA*
"(4, 5, 9, 10, 12, 6, 3, 1, 11, 8, 2, 7)",12,0,10,10,1035,IDA*
"(8, 2, 6, 4, 12, 1, 7, 3, 10, 11, 9, 5)",12,0,12,12,32533,IDA*
"(1, 9, 11, 2, 12, 7, 5, 4, 6, 8, 10, 3)",12,0,12,12,20961,IDA*
"(3, 6, 12, 8, 5, 9, 2, 11, 10, 4, 1, 7)",12,0,12,12,23175,IDA*
"(12, 7, 11, 3, 8, 2, 10, 1, 4, 6, 5, 9)",12,0,11,11,958,IDA*
"(9, 8, 7, 2, 1, 10, 12, 4, 5, 6, 3, 11)",12,0,8,8,3982,IDA*
