start,length,bound,cost,expended,algorithm
"(7, 5, 8, 3, 4, 2, 1, 6)",8,30,30,402,DFBnB
"(4, 2, 8, 7, 3, 1, 5, 6)",8,0,6,283,IDA*
"(4, 2, 8, 7, 3, 1, 5, 6)",8,70,70,301,DFBnB
"(4, 2, 8, 7, 3, 1, 5, 6)",8,60,60,295,DFBnB
"(4, 2, 8, 7, 3, 1, 5, 6)",8,50,50,137,DFBnB
"(4, 2, 8, 7, 3, 1, 5, 6)",8,40,40,201,DFBnB
"(4, 2, 8, 7, 3, 1, 5, 6)",8,30,30,187,DFBnB
"(7, 5, 3, 6, 8, 1, 2, 4)",8,0,8,1656,IDA*
"(7, 5, 3, 6, 8, 1, 2, 4)",8,70,70,255,DFBnB
"(7, 5, 3, 6, 8, 1, 2, 4)",8,60,60,158,DFBnB
"(7, 5, 3, 6, 8, 1, 2, 4)",8,50,50,371,DFBnB
"(7, 5, 3, 6, 8, 1, 2, 4)",8,40,40,292,DFBnB
"(7, 5, 3, 6, 8, 1, 2, 4)",8,30,30,216,DFBnB
"(5, 3, 4, 1, 2, 7, 6, 8)",8,0,6,326,IDA*
"(5, 3, 4, 1, 2, 7, 6, 8)",8,70,70,241,DFBnB
"(5, 3, 4, 1, 2, 7, 6, 8)",8,60,60,406,DFBnB
"(5, 3, 4, 1, 2, 7, 6, 8)",8,50,50,112,DFBnB
"(5, 3, 4, 1, 2, 7, 6, 8)",8,40,40,73,DFBnB
"(5, 3, 4, 1, 2, 7, 6, 8)",8,30,30,127,DFBnB
"(4, 2, 3, 6, 5, 8, 7, 1)",8,0,7,1269,IDA*
"(4, 2, 3, 6, 5, 8, 7, 1)",8,70,70,533,DFBnB
"(4, 2, 3, 6, 5, 8, 7, 1)",8,60,60,254,DFBnB
"(4, 2, 3, 6, 5, 8, 7, 1)",8,50,50,128,DFBnB
"(4, 2, 3, 6, 5, 8, 7, 1)",8,40,40,272,DFBnB
"(4, 2, 3, 6, 5, 8, 7, 1)",8,30,30,202,DFBnB
"(2, 7, 5, 3, 6, 4, 8, 1)",8,0,8,931,IDA*
"(2, 7, 5, 3, 6, 4, 8, 1)",8,70,70,101,DFBnB
"(2, 7, 5, 3, 6, 4, 8, 1)",8,60,60,1212,DFBnB
"(2, 7, 5, 3, 6, 4, 8, 1)",8,50,50,206,DFBnB
"(2, 7, 5, 3, 6, 4, 8, 1)",8,40,40,418,DFBnB
"(2, 7, 5, 3, 6, 4, 8, 1)",8,30,30,150,DFBnB
"(2, 6, 3, 1, 4, 7, 8, 5)",8,0,7,228,IDA*
"(2, 6, 3, 1, 4, 7, 8, 5)",8,70,70,169,DFBnB
